Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
[ 1.5906045  -4.2115674  -0.00823988  1.507365    1.8323916  -1.8769306
  4.554379   -1.2929697  -0.64523405  1.889137  ]
[ 1.5756459  -4.818736    0.29396248  1.5241896   2.1124148  -1.8468274
  4.1021996  -1.6156113  -0.07804263  1.6594318 ]
[ 1.4789267  -4.2165065   0.22972976  1.1670572   1.3161844  -0.98769593
  4.3219614  -1.508589   -0.7543983   1.8079087 ]
[ 1.8644178  -4.396738    2.016448    3.0519128   1.0194608  -2.9534824
  2.0864716  -0.38936424  0.10608262  2.1038392 ]
[ 1.9546671  -4.8747964   1.9460647   3.5284882   1.0860436  -2.9756486
  1.5998223  -0.31556708  0.57287073  1.8362648 ]
[ 1.7743214 -3.2102172  1.2426558  1.2904156  0.7951709 -1.8831319
  4.70538   -2.191567  -0.8562053  2.577256 ]
[ 1.0613037  -4.044469    1.5278012   1.5568159   1.5151321  -1.6661235
  3.5836449  -1.7000928  -0.10757244  1.5104406 ]
[ 2.4489782  -4.8543024   0.16844879  0.81662583  1.7398176  -2.3705757
  3.682923   -1.0467153  -0.13144135  1.8474257 ]
[ 2.389116   -5.1538553   1.5564967   1.014066    1.2653568  -2.344455
  2.2123678  -1.4920752   0.07453281  2.4941084 ]
[ 1.537051   -3.994575    0.18585776  0.85405934  1.7944429  -0.49484482
  3.7659152  -1.5022211  -0.30242765  1.3099293 ]
[ 1.5934345  -5.335111    1.3181906   2.3492951   1.6961912  -3.0953562
  3.789859   -1.3840654  -0.06939155  2.4863389 ]
[ 2.0398889  -3.212158    0.48572373  0.039011    1.0138521  -0.11298051
  4.454478   -2.3295395  -1.0627813   1.982455  ]
[ 1.5187917  -4.1592355   1.539542    1.7532383   0.77950954 -1.0608726
  3.445102   -2.1888814  -0.13342917  2.6578724 ]
[ 1.9589752 -5.087315   1.1966554  1.1595569  1.4622587 -1.2021703
  3.4884422 -1.5159519 -0.5186995  1.896825 ]
()
55.0
[0.26666668, 0.0, 0.0]
[ 2.4668245  -2.411621    2.1050065   1.5274059  -0.14471334 -0.5541458
  0.533904   -3.5094357   0.38526613  1.4681239 ]
[ 1.8857682  -1.2532296   2.7228925   2.655796   -1.1271094  -0.1804035
 -1.7762355  -1.1909091   0.13787901  1.8838248 ]
[ 2.203408    1.0871499   1.6782448   0.9129571  -1.5604423   1.8154571
 -3.0218055  -0.9144023   0.4200194   0.32684246]
[ 1.2744894  -1.6234032   2.2372615   1.345184   -0.75608087 -1.1847898
 -2.8099995   0.9157982   0.58192253  2.40646   ]
[ 2.3258793  -1.5505486   2.5571213   1.1785669  -1.110479   -1.3535038
  0.48746493 -2.6463706   0.7837905   1.4047325 ]
[ 2.270487   -3.3932545   0.06256603  2.6983833   0.4740109  -1.2464265
 -0.61896706 -2.313242    1.4272375   1.5974052 ]
[ 1.4511265  -0.20818782  2.6978533   2.337295   -1.2401471  -1.0898105
 -0.5011771  -1.15524     0.5622076   1.806847  ]
[ 1.9373665  -1.0894167   2.389959   -0.10486716 -0.9597231   1.718247
 -1.1352456  -0.99212545 -0.19765264  1.3616587 ]
[ 2.1026175  -4.347081    0.303609    2.9113083   1.9032872  -2.339853
 -1.9720815  -1.108978    2.248082    0.35963014]
[ 2.2024884 -2.4411194  1.7294085  2.3804114 -0.3105677 -1.8476664
 -0.5352732 -2.0704443  1.1872075  2.1446104]
[ 2.2472868  -1.5082858   0.69958293  1.2920042   0.27692774 -0.76125467
 -0.54080987 -2.241641    0.7695891   0.42941096]
[ 2.4395127  -2.5102382   3.1807413   3.4818497  -1.2564     -2.5189416
 -1.0850734  -1.7408152   0.87540406  2.292874  ]
[ 1.6674492  -0.3552075   1.6100916   1.889698   -0.98477733  1.1028821
  0.38529816 -1.9853723  -0.96376413  1.1159757 ]
[ 2.0890143  -2.1548393   1.190674    1.0112494  -0.31360003 -1.265077
 -2.39435    -1.1601684   1.1132865   2.066266  ]
[ 2.4704876  -3.9227352   0.8827056   1.3735031   0.4427513  -1.5586697
  0.93604136 -2.391931    1.5027487   1.2791522 ]
()
121.0
[0.20000002, 0.0, 0.0]
[ 1.8084357  -2.2945619   1.5207083   1.0272527   0.29306445 -0.72608364
  4.2585945  -2.7157588  -0.6420062   1.2641623 ]
[ 2.5642228  -2.9246604   1.1236529  -0.27961794  0.6164074  -1.0609382
  3.2776973  -2.6249497   0.02031165  1.4237348 ]
[ 2.7524033  -2.21061     1.9928739   0.55240583  0.08018264 -1.456562
  2.7503676  -2.5505276  -0.22740334  0.4131446 ]
[ 2.0025728  -0.52801603  2.6077383  -0.0600397  -1.337434    0.4391947
  2.6737106  -3.3155284  -0.22028357  1.2915205 ]
[ 2.8270175  -2.793621    1.6163753  -0.01609969  0.13674814 -1.279644
  3.9968312  -2.5362363  -0.23151189  0.90636635]
[ 1.944746   -0.7710968   2.3814607   0.2438585  -0.98769903  0.27668014
  2.6896088  -3.1688206  -0.1224013   1.1187812 ]
[ 3.6570706  -2.662627    1.1932781   0.2081503   0.01844522  0.40474567
  1.4145412  -2.5831895   0.05804181  0.71768105]
[ 2.2920861  -5.665024    1.0969583  -0.55464613  2.0475585  -0.7617526
  3.1280181  -1.0369773   0.93454546  0.4299589 ]
[ 2.0559723  -1.5064911   2.3196485   0.64696145  0.18509345 -1.2645717
